genre,loudness,tempo,time_signature,key,mode,duration,avg_timbre1,avg_timbre2,avg_timbre3,avg_timbre4,avg_timbre5,avg_timbre6,avg_timbre7,avg_timbre8,avg_timbre9,avg_timbre10,avg_timbre11,avg_timbre12,var_timbre1,var_timbre2,var_timbre3,var_timbre4,var_timbre5,var_timbre6,var_timbre7,var_timbre8,var_timbre9,var_timbre10,var_timbre11,var_timbre12
classic pop and rock,-8.184,132.931,4,11,1,115.35628,44.5584334,76.93724524,21.70336998,13.35296406,-2.181754757,20.25791121,-12.69257294,-8.918913319,26.90558774,3.044809725,-4.749207188,12.58886892,90.59255808,2379.074958,1777.418906,2740.106869,671.5482457,2271.260211,874.774343,1102.263214,330.3199191,395.6955114,430.6163524,286.9061938
classic pop and rock,-10.729,149.287,4,3,1,328.28036,42.56898793,1.671247485,31.52659054,-9.455222334,19.26786519,-8.963502012,-12.92319014,-2.321648893,6.154724346,-6.247928571,0.339970825,17.64746881,31.73553176,3256.631682,1386.68005,1168.525071,762.231125,384.9005363,490.8790274,402.6961608,479.4194825,248.4677332,167.8456032,274.271904
classic pop and rock,-10.441,80.625,1,9,1,201.40363,39.95107601,-8.979655405,18.77361655,-4.272650338,7.783319257,-10.88650507,4.992733108,-1.339366554,2.566493243,0.409440878,-0.458408784,10.43755912,85.66107338,2700.322038,2009.67979,1167.997802,773.824068,616.7435927,523.8065195,481.4451996,430.7067926,323.7471399,219.7623247,285.2287814
classic pop and rock,-12.949,146.756,7,0,1,309.57669,38.53392825,-17.92809865,41.19406876,-1.690925262,27.17241854,-2.893421525,-26.14759791,-0.678085202,4.642201794,-3.006959641,0.741170404,8.894183857,64.85978555,7517.762802,3971.437011,2972.700799,997.3453953,985.7034928,1089.529232,573.8370538,652.5673624,483.3110075,434.5560332,452.3064958
classic pop and rock,-7.877,103.578,4,0,1,233.01179,44.9221138,-6.313257113,36.54730137,15.77320548,-13.36737092,2.086492097,-1.903491043,-1.448047418,-0.484847208,-3.327879874,3.664610116,2.088003161,35.19476358,1428.871191,1671.289836,1517.227438,542.1135028,1241.579802,477.356961,378.8782327,422.8547479,268.0017665,312.8971355,270.6077974
classic pop and rock,-9.109,121.73,4,7,1,167.20934,41.86956761,11.36340267,-19.55046062,10.17168648,-25.07778752,23.23668796,0.762546805,-4.96984844,12.24696285,-0.618087667,-10.13743834,-5.178580981,43.71552332,1417.514431,2866.439586,2538.0591,1221.708853,1738.275275,758.2171951,671.5192646,387.1031207,467.4031897,475.6798089,200.5836395
classic pop and rock,-6.569,133.122,1,8,1,206.15791,48.66785503,-27.69117181,18.01872349,-0.602253691,-29.76353154,-10.78616779,9.407879195,-13.4638698,-9.402555705,-11.88654228,5.891652349,14.07945101,27.70500484,2236.372777,1100.571441,888.6764997,596.9311489,515.9915636,419.6058461,435.6642728,404.3397223,450.8155118,156.5144292,201.6202504
classic pop and rock,-6.173,141.883,4,11,1,241.94567,50.01990792,36.73581745,50.50901616,-3.741883683,-27.48701131,-12.35482876,-8.300403877,1.405499192,12.2651147,3.096384491,-2.229134087,-1.723678514,11.5644534,1176.929755,1104.938294,848.9082026,419.9098674,462.7104297,417.5160711,291.4386917,186.0459738,179.5253651,167.8344649,202.6115103
classic pop and rock,-15.694,107.507,4,2,1,160.62649,37.42647692,-19.58926731,-5.443282692,-6.321478846,-8.596469231,5.073459615,-2.960596154,-10.35206346,2.388646154,-2.468726923,-1.1237,14.92343462,18.06972178,5595.622552,2123.281645,3079.045534,986.7765239,1012.245571,859.4921235,1074.685741,629.7710388,694.6339175,468.6144428,306.2580458
classic pop and rock,-9.722,116.148,4,9,1,229.74649,43.64296745,40.36080561,35.90416456,19.68415642,3.925915913,-5.439712477,5.719068716,-3.475598553,2.653126582,2.973355335,2.732753165,2.94772604,23.75848678,1166.241121,1967.950442,874.0544794,578.67593,840.6818746,787.5793524,359.2988955,272.0474497,291.6333543,207.3768986,279.2809504
classic pop and rock,-3.265,100.035,4,9,0,236.14649,48.23121909,32.06385545,-25.54152545,-2.506097273,12.52511636,12.65302091,-7.985752727,0.759896364,6.518049091,17.88903818,-10.62111364,-3.011717273,12.59286329,2063.694851,1410.237442,2398.518446,876.8498529,1727.299456,653.929991,1096.431468,441.0128764,868.5489908,654.3758465,272.01738
classic pop and rock,-15.333,140.786,4,7,1,334.36689,34.92680745,63.53744876,-21.56683463,63.24199379,-5.548217391,11.01065994,-2.006343944,17.00492236,-12.34227252,6.961926242,12.43122127,9.942341615,40.38248478,3648.824919,4467.173492,2284.605051,2339.583329,2709.335632,567.5560056,982.4177196,551.6776482,431.070984,786.9533474,222.036458
classic pop and rock,-7.787,84.028,5,0,1,186.67057,44.82436124,-7.611523923,-5.46958134,-4.133514354,-18.82944258,-5.335021531,10.50248804,-16.17410048,-6.041681818,-9.291988038,-1.186052632,8.982117225,45.84203717,2953.910401,2090.505157,2891.784854,1040.530953,986.1986839,999.2707009,970.612426,821.4725708,573.9840861,362.8686438,307.7215038
classic pop and rock,-8.722,130.023,4,2,0,387.52608,44.50095292,-30.41636851,19.8860901,-2.395283279,6.98317776,5.367038149,-12.95243506,-11.4717849,5.081165584,-3.300349838,-1.394691558,7.952756494,31.1469458,1964.347388,1899.112754,1553.159147,1026.541442,820.9797856,817.1851623,551.1971866,368.5140411,379.9093051,284.4819233,267.896766
classic pop and rock,-5.88,134.395,4,10,0,238.62812,46.59845664,45.32132915,27.87396134,19.79183908,-6.30061442,14.95545246,20.6945977,-2.328400209,0.012745037,11.37078579,-8.282856844,-2.848505747,48.88159013,1587.89652,2194.64528,1939.588699,549.901577,2502.425509,458.613634,449.0138665,280.8295346,379.4113598,444.8592241,202.9625154
classic pop and rock,-9.333,197.85,1,0,1,216.18893,45.09375278,14.96805954,38.8286781,6.695393542,-5.27379112,-5.721762866,2.524628658,7.609769929,1.959210898,0.161414733,0.18406559,4.248973764,28.51710307,1341.88432,1712.284285,911.9997197,879.0053449,632.4356729,472.3031775,340.8055315,315.4011123,287.2380674,214.3628823,291.8428426
classic pop and rock,-9.063,130.955,4,11,0,231.18322,45.21550885,64.51205667,62.01661747,16.60587013,-17.10121842,-0.976835891,15.4905974,5.689710744,7.316831169,4.707486423,-3.94157497,-1.91090673,35.80634331,914.2557506,1415.12456,1244.236269,445.5917671,679.8743387,431.8042191,212.3658887,346.8449194,186.3933726,289.1183459,287.9209032
classic pop and rock,-8.869,110.923,4,5,1,242.25914,44.25282952,47.74466632,35.9375104,19.39119023,24.72912682,-1.616865904,4.905628898,1.522983368,-4.51593659,4.919358628,1.049917879,-2.744220374,30.57743139,1154.242438,3305.87295,2135.3821,985.1146908,1272.844442,693.1530469,492.2894935,326.2388379,268.1999807,431.9361112,314.670007
classic pop and rock,-6.951,126.641,4,10,1,176.97914,46.78717732,-0.660263578,51.10719649,12.9681869,-32.23440256,-0.770380192,9.975832268,-1.493022364,-0.758814696,-6.232597444,3.537916933,-9.791610224,34.44687818,820.8282196,1201.742432,1007.790733,575.4123975,746.5639309,335.3184655,267.0584428,255.3506692,223.3390374,261.1218042,187.4937818
classic pop and rock,-6.24,103.725,4,6,0,236.19873,45.85915063,-10.24062448,8.838007322,12.19133577,1.666460251,-6.906283473,0.068987448,4.146498954,-0.982973849,-0.482866109,4.844574268,4.385905858,47.58864644,3582.785199,2296.084195,1548.357342,755.5991888,1078.580674,583.9641859,744.4615497,469.6066528,442.1353926,246.6618357,330.2466146
classic pop and rock,-4.83,214.911,7,7,1,299.96363,49.12591673,70.85312138,-0.171846154,6.198921665,4.321689485,-23.10226464,5.180653493,2.668661962,-3.5529506,11.61660974,2.263817219,6.636326041,44.88711353,2407.273997,1028.414654,513.5689915,517.3829709,498.8905731,549.1603743,221.3811297,364.2071809,199.3532878,127.180273,253.3044558
classic pop and rock,-7.343,118.816,4,11,0,331.38893,43.38036524,-12.19498381,8.806907811,16.23970091,27.40645039,-6.061975369,-14.10345391,-17.36594159,10.61951865,1.284781844,3.427722027,-9.903023927,43.17453854,2255.943547,2002.348738,1257.895162,1583.207208,1351.761532,465.6047344,717.1824958,331.1174215,621.3920595,285.8129977,292.2090566
classic pop and rock,-10.465,165.649,4,9,0,291.05587,40.19538265,-50.40384056,-11.11734439,4.603145408,8.410139031,0.664994898,-28.60667474,-17.63312628,2.869154337,-5.781117347,5.078808673,6.632901786,40.19206317,2010.204959,4338.419248,2800.041406,1139.488926,1202.839042,857.924273,630.8653586,491.4208307,437.0271451,363.1979226,367.1830768
classic pop and rock,-8.262,101.307,4,0,1,242.36363,45.40990509,74.2740362,9.518729941,3.693338552,13.79772994,-0.186163405,7.82484638,9.818350294,-1.680287671,8.317191781,-6.043362035,-8.169089041,23.64076121,2090.545247,2716.62199,1425.692106,722.2437695,1636.791214,602.6887891,699.0742344,410.1008585,446.2529967,372.5364969,269.0361184
classic pop and rock,-9.569,117.917,4,9,1,244.63628,44.80334088,-7.304407355,30.15150212,-2.855521924,-9.423268741,-14.52349222,0.970390382,0.242045262,12.48156719,10.23478642,-1.520226308,-4.903577086,20.09276458,1141.168605,1327.206987,811.9494421,1125.593414,739.2354661,602.8554795,300.3887284,524.5715103,216.437739,204.1955023,237.3824366
classic pop and rock,-10.004,110.229,4,5,0,257.74975,41.96059808,40.31623846,-0.9721,8.486779808,-1.665813462,8.588361538,0.386276923,-0.548489423,-12.98517885,-2.172573077,-0.286625962,11.44420288,34.44453104,1943.610692,1548.058779,1859.352854,899.1787737,1474.240823,539.2000045,653.1064227,437.7437843,386.7950006,450.6738868,320.8096532
classic pop and rock,-15.865,83.536,7,5,1,207.98649,36.95587586,-67.5000069,-1.199009195,-21.1355908,13.79605977,-17.48222989,-16.96742989,-4.965117241,2.518333333,-1.533055172,-0.048018391,0.629951724,38.79916175,2307.453758,1717.04861,1240.203988,2130.343371,570.3537937,697.0338665,500.3420485,363.3974001,299.3171719,169.2677646,347.5086818
classic pop and rock,-11.239,121.357,4,11,0,317.70077,42.62990177,-0.688652174,15.5764533,4.270699678,17.44838969,-17.32955395,-3.306269726,-10.61107649,1.795623188,5.118838969,3.467078905,3.961243156,27.6215041,1989.721859,1697.783316,823.5872874,726.1480431,748.8038899,565.6080093,316.3955238,426.0312074,322.641217,211.3662737,265.259114
classic pop and rock,-12.78,130.424,4,0,1,473.18159,39.31448594,28.63038943,-8.075968962,23.48293356,-31.85376673,-7.353939864,12.15016586,-0.339609602,-8.968272066,5.552537827,1.228844326,-6.544616392,27.20766207,1813.143847,2552.903172,2472.850857,941.3642641,1096.525763,891.4398766,570.6936802,423.2735182,396.054992,364.1912837,237.0922606
classic pop and rock,-13.877,182.705,4,11,0,205.68771,38.56264097,-9.873776432,27.53110022,26.70213106,-24.47471476,11.34340639,-0.080344714,-11.9820848,11.99954956,-0.0100837,1.273817181,1.10247467,28.45958605,1986.454986,3504.457831,2008.302483,1376.079673,1404.975547,679.9896572,659.8323777,395.4470483,473.2071687,389.9796476,251.9373266
classic pop and rock,-12.173,137.877,4,5,0,239.98649,37.75853314,-25.01631949,-14.50491592,26.7411276,-19.20934817,26.92452819,18.67713551,-6.366487636,6.773772502,3.327040554,-4.612661721,-3.495536103,44.83176926,1880.477895,5131.22856,3100.228284,1513.831762,2691.035766,967.0383416,660.0452017,655.640911,528.9197305,709.4836325,319.5348465
classic pop and rock,-10.123,142.695,4,7,0,212.29669,41.45178534,11.4115445,-13.87181047,10.47913298,-2.661489005,6.456673298,-5.866034555,-7.986326702,10.86538534,1.50667644,-3.842531937,-0.344379058,37.30145712,1291.426876,3150.749087,2940.535917,917.0010077,1299.534872,754.3847965,628.0263966,504.9934803,494.4777137,492.3656226,373.8977727
classic pop and rock,-10.606,125.567,4,9,0,212.79302,39.89269608,21.71031127,-20.59206373,6.695688725,-12.9655,7.957185049,24.74867892,-0.814964461,-15.03426838,1.637276961,-9.332960784,-7.521296569,44.21005588,2610.781057,2952.035138,2810.538494,1359.774972,1768.735093,838.2084889,755.4369214,726.0455509,567.1543596,617.7010189,313.2363546
classic pop and rock,-11.238,175.393,1,0,1,189.09995,39.6852072,134.1293075,-4.430377317,32.24459324,-70.40399455,2.931665213,33.49821592,-18.49723664,27.84740022,9.465607415,-1.510143948,6.539877863,33.10825833,3582.544889,5525.099702,2013.621189,1236.966051,1430.495458,1498.316663,756.4844323,570.3109377,669.1600722,456.2698919,658.2427536
classic pop and rock,-12.163,181.423,4,11,0,204.042,40.36624092,-4.552165017,20.21806161,24.72548295,-23.54165677,10.00054675,2.975727173,-12.30123872,6.419045105,-2.429761276,1.380082508,1.76160286,28.71936793,2051.455209,3437.500519,2004.258511,1389.265932,1372.609926,655.1978734,646.7138502,392.7271712,484.4455797,392.4861713,252.6586054
classic pop and rock,-13.626,84.24,1,7,1,227.7873,39.48421771,43.33660813,24.86868505,-1.639928882,7.254566038,-7.795930334,15.23801597,-6.02456894,-5.964692308,-6.677526851,-1.218087083,10.19129753,21.2119875,1357.529724,2462.518642,999.4381178,605.1135053,541.9406054,620.1812454,272.151155,255.6439645,195.8603752,165.2931715,234.9510275
classic pop and rock,-15.83,114.011,1,2,1,96.10404,36.23468041,-89.05478694,29.88319588,-4.947914089,-11.27039863,-1.680415808,-6.394859107,-3.309996564,10.68670103,-4.512879725,-0.07609622,1.403415808,25.36491466,2191.607491,2540.519333,1699.583122,1228.545393,838.8926363,707.0382076,368.8074143,358.409911,256.8552497,314.2755181,419.2343727
classic pop and rock,-11.421,141.381,1,9,1,48.95302,42.57722596,-12.58011058,14.88855769,-1.059509615,-46.46365865,-2.253913462,20.88859615,2.407538462,11.12422596,-5.850326923,-2.571961538,-6.765490385,17.66503273,1150.907969,1059.852512,1100.290394,737.853857,642.6616544,467.9048332,309.8653939,291.0462446,255.4834507,275.366962,240.7473356
classic pop and rock,-12.896,102.404,4,10,1,261.48526,37.9914169,-80.72456479,-14.14099014,0.884585915,-3.298656338,-3.638295775,14.68920423,-4.842088732,7.079059155,-7.286526761,-2.417767606,4.560594366,48.45727596,2540.849196,3112.697757,2804.317311,823.3567295,1197.749225,808.0977272,695.2364246,585.3027336,352.2702041,334.0976138,388.2233348
classic pop and rock,-12.013,131.397,4,8,1,191.00689,39.87653691,-38.56257718,27.36512416,10.49145638,9.595704698,-12.93319295,17.51611913,-3.572013423,7.260994966,-1.910758389,0.072971477,3.505671141,49.93500988,2456.742883,2284.204786,1904.543205,859.1458231,910.0399937,666.0548167,571.2508941,471.721982,347.8508349,253.3381922,438.3376692
classic pop and rock,-9.587,141.214,4,1,1,232.38485,43.97352798,3.208985653,32.0252109,-3.365139168,-3.740302726,-14.11270445,-13.9308594,-4.843416069,3.585760402,-2.023278336,4.481215208,13.62618651,35.02698263,2026.818039,1612.181581,851.9865064,754.1723729,519.9002311,596.3184185,368.238375,274.3811288,242.0990262,146.4856297,350.6812451
classic pop and rock,-12.072,135.685,4,3,1,208.1171,40.33837255,-12.69324777,30.24941176,-2.952099822,-7.338039216,-7.48326738,-3.959524064,0.498388592,8.294666667,-0.939796791,0.348381462,7.057363636,39.84858055,2465.016674,2248.237088,1382.837443,889.9366412,629.2365683,625.0098981,435.7801114,288.9168282,286.8500514,225.8736068,341.248482
classic pop and rock,-6.2,100.036,4,11,1,230.1122,45.25273913,-3.592206522,-12.43524185,-3.508709239,-10.28623641,-1.024137228,-3.615978261,-6.914683424,2.696330163,-1.869741848,-1.15197962,-2.250072011,53.86000898,1686.119306,1568.842972,1645.217478,1162.303588,1147.153436,653.4378985,583.6128698,385.1138616,473.6019452,317.4405997,327.0457042
classic pop and rock,-7.639,78.469,4,3,1,180.61016,46.89075214,6.376141026,64.33721795,1.542369658,-19.20604274,-6.180764957,-13.73720085,-4.468145299,11.76535043,-3.123809829,1.537113248,19.95715385,20.25172779,3466.410753,2041.12623,1324.308408,1549.779488,379.55345,785.7088585,457.4299308,385.113231,255.5260086,189.9243757,469.1760569
classic pop and rock,-13.367,113.237,3,9,0,285.962,40.50079061,-28.64445178,9.893025381,-13.70727919,13.0146269,-15.69894289,-6.213771574,-4.442780457,2.075408629,-6.342230964,0.745672589,1.553969543,32.8190676,2446.285405,1541.816571,1046.024157,785.7168336,462.6759811,527.0117951,340.820787,274.2815666,235.485769,167.3564984,285.8153196
classic pop and rock,-13.559,97.037,5,2,1,232.28036,38.02016118,-80.52022368,-51.58102961,-49.33344408,46.70504441,-22.00292105,-32.08655757,-4.866327303,8.9298125,-4.980435855,-2.882080592,-0.465226974,63.62797595,5846.146687,3292.731782,1640.808426,2025.547161,612.4113278,1050.776412,453.6148964,787.2473972,312.6659632,243.8387027,706.8789883
classic pop and rock,-10.809,94.103,4,5,1,180.29669,42.43126545,22.67487414,33.31951716,-8.317613272,9.714965675,-2.702528604,-22.36579634,-4.930693364,3.062308924,-0.005045767,-1.20809611,1.024283753,40.14815429,2730.587555,1531.441953,1706.190303,934.5411063,832.9021591,626.6698125,601.7999449,493.2718359,371.6884684,260.4216803,411.9195539
classic pop and rock,-10.058,102.166,4,2,1,217.96526,40.86808848,-35.79171285,-14.31034057,-18.82073122,17.82156427,-5.131854758,-17.26677963,-4.42090985,6.171949917,-1.823176962,-2.930095159,5.40412187,53.89350044,2186.378503,1839.143507,1713.818435,1454.062252,859.3291241,574.6510224,449.7711388,395.2874663,290.4937773,255.0187817,299.263819
classic pop and rock,-17.111,85.537,4,10,1,166.24281,32.74631185,-45.98741788,8.69833264,-24.82030353,21.94864449,-5.847428274,-21.63985447,0.828762994,-0.007700624,-3.346686071,-6.1775842,-6.665378378,58.84968191,3043.842497,3123.547733,2099.654461,1064.953543,739.685273,1263.722985,469.8240521,533.6459466,310.4350109,358.5014747,509.7922392
classic pop and rock,-17.153,76.754,1,0,1,205.42649,34.83222921,-128.216791,40.07146742,7.524752809,39.67073708,-1.738330337,-24.30604494,1.499698876,-15.41809438,-7.637739326,4.281573034,7.706732584,29.71291704,3507.203383,1050.000987,1413.219968,905.0254773,722.7004276,587.4609467,356.3747818,381.124965,301.1028765,178.1722459,191.8969762
classic pop and rock,-13.571,84.742,1,4,1,287.05914,38.56699697,-45.84671515,34.06313485,-14.14664697,23.59521667,-19.95070909,-15.01575,-2.809128788,-5.642577273,-4.591972727,1.970725758,3.032993939,51.18654042,3570.1556,3061.559941,1469.719369,1192.060185,315.3822585,827.1282494,302.4758917,395.7202521,228.9768074,189.8901407,602.0470515
classic pop and rock,-10.132,114.541,3,0,1,224.60036,41.87975475,-17.50397409,-28.73294819,-28.01234888,15.60044387,-8.474682211,-15.12652159,-4.290483592,8.085354059,-4.481188256,-3.497794473,8.268069085,39.488452,3914.35579,1833.528147,1961.962739,885.6089687,768.8823881,816.0398104,803.6888042,486.0392069,445.1557517,495.5406684,370.157694
classic pop and rock,-12.789,124.002,4,5,1,167.99302,41.02845484,11.87499677,8.002903226,2.815151613,5.851446774,-0.131691935,-16.00121452,-5.794680645,2.888364516,-4.612022581,3.889008065,12.61724839,13.45010426,1172.018435,1053.758538,1487.292079,521.4793743,1237.315533,287.1025033,348.9605376,347.2737351,257.8005513,243.6462032,219.5786595
classic pop and rock,-12.723,150.042,4,1,1,125.85751,41.39267901,-48.22800309,20.25206481,-8.076009259,24.9589321,-14.83460802,-14.69033025,-13.63399383,-2.299391975,-7.05612963,2.098533951,2.228898148,48.26554295,2321.977525,1362.775269,1243.147145,2086.027231,514.467637,831.8536902,513.5778934,759.0173163,363.7078501,181.7472365,370.3179378
classic pop and rock,-10.764,91.64,4,9,0,162.37669,43.20341141,-43.84579837,26.47063747,12.07822811,4.419755601,-11.6084053,1.575645621,-16.7772668,0.968317719,-0.007989817,0.890965377,-3.279319756,22.57326629,1854.007029,2054.500309,2012.577816,970.9203304,869.3848613,571.9352918,617.919659,589.6777381,476.0280335,251.0461901,349.7362776
classic pop and rock,-13.878,108.566,4,10,1,303.33342,41.84144805,99.50517922,0.145516883,-20.92422468,-24.35064156,-19.39677273,-19.67137403,-6.200131169,12.38934545,3.740402597,-0.657055844,7.75712987,8.139015842,1070.907059,826.472673,516.9867518,777.7727751,239.4630341,336.7775225,304.3682488,191.2176853,200.9637591,91.07418547,126.7488177
classic pop and rock,-11.982,139.932,4,11,0,168.59383,44.932116,116.908922,12.742196,-14.222134,-14.124794,-18.107074,-10.845504,-2.082958,1.462554,2.375418,-2.94486,0.062298,4.503611431,884.857872,780.6358676,380.2282617,452.6763968,274.8556662,250.8312199,301.5254493,289.4079499,193.4285246,105.2546814,156.4485513
classic pop and rock,-15.804,95.416,4,0,1,153.86077,38.32398448,8.245382759,19.89907931,2.101236207,-38.89298448,-1.308862069,-4.162212069,1.762912069,24.56354138,5.810767241,-2.609503448,-2.893377586,24.76793625,1597.915616,1153.267243,1576.760845,1933.423592,684.1176093,449.1786333,466.7754456,353.4707708,254.1489955,198.1478712,163.4234703
classic pop and rock,-7.294,142.893,3,2,1,136.69832,47.27342126,-14.93829331,45.67870276,11.77818701,-13.43656496,2.085399606,-6.637309055,-7.504468504,5.150862205,-1.77661811,2.094541339,-0.502533465,11.32096491,1219.46332,1170.895435,1320.689649,829.7955193,788.0885482,650.9161721,328.670306,342.2016432,258.1194256,292.1703588,205.7282543
classic pop and rock,-8.998,95.067,4,7,1,190.04036,44.3009271,7.414492435,-1.169628611,-3.87062586,-8.109057772,-9.145854195,1.027474553,-6.087174691,2.173480055,3.525330124,-1.061317744,1.600792297,35.31016286,1882.40512,1178.477032,1758.035564,1148.918038,911.0941057,611.9686858,569.5563313,463.4861978,344.1961666,307.484497,263.5277334
classic pop and rock,-10.941,90.307,4,2,1,205.42649,41.17947368,-31.71339376,5.425863548,-5.831413255,-13.30467641,-2.039099415,0.36408577,-10.60545614,2.660247563,-1.955619883,-2.415175439,-0.710502924,38.73175376,2126.169221,1618.862585,1807.358554,808.1761179,818.5114502,683.8446408,616.9344144,566.5667749,372.2363798,347.7760786,293.3654019
classic pop and rock,-4.779,97.06,4,1,1,152.37179,49.52227414,38.21923793,6.27637069,-6.426110345,-6.668746552,-10.02844655,-9.139505172,-4.294156897,-3.931356897,3.686763793,1.072153448,3.066272414,17.97951147,1606.465664,1256.048639,1392.158111,858.2578651,934.4883536,548.3569396,508.7927404,398.9586739,341.4076506,276.4329508,227.7248471
classic pop and rock,-11.712,88.417,4,1,0,169.89995,41.69659055,0.659198425,17.17252756,4.048748032,-11.41731496,5.526730709,5.397903937,-9.494850394,-6.370574803,-1.902388976,0.259508661,6.11104252,15.78633158,2332.105597,1737.852719,1377.493953,938.1658474,900.9958206,1173.224999,463.8780416,517.211994,398.0745786,274.721992,370.0380004
classic pop and rock,-11.66,167.009,4,2,1,167.54893,43.23659673,-17.78897684,41.88111717,10.81735014,-12.16847411,-2.177328338,-6.805226158,-1.131742507,4.939934605,2.136243869,1.172382834,9.731472752,8.559908805,1268.415771,988.5320204,757.3059527,910.4718348,579.9513007,347.6845374,470.6452498,199.823611,345.8308727,208.2714355,200.7281714
classic pop and rock,-8.965,85.769,5,0,1,229.09342,45.23327904,33.45507305,16.29257246,-2.509386826,7.601716168,-17.31106826,-11.13383234,-2.370511377,2.759263473,1.325329341,1.176938922,-1.056265868,17.90105262,1552.976096,1337.10884,792.4835608,856.0591213,546.1611836,591.8332441,277.7283283,435.1507747,272.6990018,179.387228,357.4762757
classic pop and rock,-8.544,94.106,4,0,1,188.60363,46.07643806,29.5588474,52.22288689,2.866601436,3.07245781,-21.06384022,11.87510592,1.249682226,-8.909529623,-4.910251347,-0.733077199,-4.117070018,50.69630146,1606.023575,789.6081061,498.580986,957.9426478,245.2901951,775.6417028,291.8203341,253.5763012,190.4325732,109.3506748,197.9199794
classic pop and rock,-13.177,146.867,1,0,1,228.30975,39.38407186,17.21681781,15.88051417,0.853527328,12.28796154,2.898487854,12.99019534,-1.565904858,-4.633760121,-1.985619433,-6.513505061,5.338659919,32.89289642,2144.122731,1166.377006,1209.923777,554.3971715,782.4056487,465.9008705,490.8335364,272.0756034,397.2950114,242.5276144,231.8153491
